game_turn,player_name,num_cities,population,techs,civics,land_units,corps,armies,naval_units,tiles_owned,tiles_improved,balance_gold,balance_faith,yield_science,yield_culture,yield_gold,yield_faith,yield_production,yield_food,data_source,loaded_at
3,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,22,0,2,1,6,0,6,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,22,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,7,0,26,0,2,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_SAMARKAND,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_PRESLAV,1,1,0,0,2,0,0,0,7,0,20,0,3,1,5,0,2,3,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_JOHANNESBURG,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_MEXICO_CITY,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,2,5,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_LAHORE,1,1,0,0,2,0,0,0,7,0,20,0,2,2,5,0,3,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_PALENQUE,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_ANTIOCH,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_FEZ,1,1,0,0,2,0,0,0,7,0,20,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
3,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,7,0,25,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,7,0,28,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,7,0,28,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,28,0,2,1,6,0,6,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,28,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,7,0,35,0,2,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_SAMARKAND,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_PRESLAV,1,1,0,0,2,0,0,0,7,0,25,0,3,1,5,0,2,3,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_JOHANNESBURG,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_MEXICO_CITY,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,2,5,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_LAHORE,1,1,0,0,2,0,0,0,7,0,25,0,2,2,5,0,3,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_PALENQUE,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
